user_id,session_date
68b657af-9dbf-43bc-90a1-23df306054b0,2024-01-01
68b657af-9dbf-43bc-90a1-23df306054b0,2024-01-06
68b657af-9dbf-43bc-90a1-23df306054b0,2024-02-06
68b657af-9dbf-43bc-90a1-23df306054b0,2024-02-15
68b657af-9dbf-43bc-90a1-23df306054b0,2024-01-14
68b657af-9dbf-43bc-90a1-23df306054b0,2024-02-24
68b657af-9dbf-43bc-90a1-23df306054b0,2024-02-03
fd4e5b41-bd01-4527-9651-42afb171820d,2024-01-19
fd4e5b41-bd01-4527-9651-42afb171820d,2024-02-15
fd4e5b41-bd01-4527-9651-42afb171820d,2024-02-17
fd4e5b41-bd01-4527-9651-42afb171820d,2024-02-18
fd4e5b41-bd01-4527-9651-42afb171820d,2024-01-05
fd4e5b41-bd01-4527-9651-42afb171820d,2024-02-10
fd4e5b41-bd01-4527-9651-42afb171820d,2024-01-28
b2c9a92a-e391-414a-894a-ffdc8616bfcd,2024-01-18
b2c9a92a-e391-414a-894a-ffdc8616bfcd,2024-02-24
b2c9a92a-e391-414a-894a-ffdc8616bfcd,2024-02-25
b2c9a92a-e391-414a-894a-ffdc8616bfcd,2024-02-23
b2c9a92a-e391-414a-894a-ffdc8616bfcd,2024-02-15
b2c9a92a-e391-414a-894a-ffdc8616bfcd,2024-02-28
b2c9a92a-e391-414a-894a-ffdc8616bfcd,2024-01-21
b2c9a92a-e391-414a-894a-ffdc8616bfcd,2024-02-01
b2c9a92a-e391-414a-894a-ffdc8616bfcd,2024-01-02
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-01-14
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-02-16
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-01-23
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-02-25
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-01-16
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-02-17
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-01-18
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-01-29
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-02-12
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-02-09
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-01-04
b43ff486-8068-471a-b40b-bfd5e00d6665,2024-01-31
66923427-09ae-40a0-b11e-fe8ba8cdb4c2,2024-02-11
66923427-09ae-40a0-b11e-fe8ba8cdb4c2,2024-01-22
66923427-09ae-40a0-b11e-fe8ba8cdb4c2,2024-01-14
66923427-09ae-40a0-b11e-fe8ba8cdb4c2,2024-02-15
66923427-09ae-40a0-b11e-fe8ba8cdb4c2,2024-01-08
66923427-09ae-40a0-b11e-fe8ba8cdb4c2,2024-01-21
66923427-09ae-40a0-b11e-fe8ba8cdb4c2,2024-02-24
66923427-09ae-40a0-b11e-fe8ba8cdb4c2,2024-01-04
66923427-09ae-40a0-b11e-fe8ba8cdb4c2,2024-02-13
66923427-09ae-40a0-b11e-fe8ba8cdb4c2,2024-01-15
66923427-09ae-40a0-b11e-fe8ba8cdb4c2,2024-02-22
8bdfb67e-1654-4da9-a174-52958f4deadf,2024-02-24
8bdfb67e-1654-4da9-a174-52958f4deadf,2024-02-28
8bdfb67e-1654-4da9-a174-52958f4deadf,2024-02-27
8bdfb67e-1654-4da9-a174-52958f4deadf,2024-01-11
784df387-271f-45a8-8af5-d9a741a29db2,2024-01-05
784df387-271f-45a8-8af5-d9a741a29db2,2024-01-12
784df387-271f-45a8-8af5-d9a741a29db2,2024-02-16
784df387-271f-45a8-8af5-d9a741a29db2,2024-02-25
784df387-271f-45a8-8af5-d9a741a29db2,2024-02-27
784df387-271f-45a8-8af5-d9a741a29db2,2024-02-09
784df387-271f-45a8-8af5-d9a741a29db2,2024-01-14
784df387-271f-45a8-8af5-d9a741a29db2,2024-02-21
784df387-271f-45a8-8af5-d9a741a29db2,2024-02-28
784df387-271f-45a8-8af5-d9a741a29db2,2024-01-20
784df387-271f-45a8-8af5-d9a741a29db2,2024-01-28
784df387-271f-45a8-8af5-d9a741a29db2,2024-02-13
784df387-271f-45a8-8af5-d9a741a29db2,2024-01-15
784df387-271f-45a8-8af5-d9a741a29db2,2024-01-19
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-01-10
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-02-17
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-02-22
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-01-03
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-01-18
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-01-11
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-02-05
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-02-09
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-01-07
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-02-07
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-02-28
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-02-16
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-02-25
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-02-10
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-01-14
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-02-24
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-01-02
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-02-20
c5dcd388-c12b-42df-90c4-ae1c7d656419,2024-01-20
6ccf8e32-cb76-4db7-b2bb-f3d6b96ffbbf,2024-01-06
6ccf8e32-cb76-4db7-b2bb-f3d6b96ffbbf,2024-02-01
6ccf8e32-cb76-4db7-b2bb-f3d6b96ffbbf,2024-01-07
